Nome do Item,Classificação do Produto,Valor em Reais (R$),Quantidade em Estoque,Nome da Loja,Data da Venda
Corretivo,Eletrodomésticos,25.15,90,Filial 4,2023-01-12 18:58:06.794203
Base líquida,Roupas,84.33,68,Filial 4,2023-05-10 18:58:06.794203
Pó compacto,Alimentos,61.22,30,Filial 10,2023-08-22 18:58:06.794203
Batom líquido,Alimentos,77.76,18,Filial 9,2023-08-11 18:58:06.794203
Batom matte,Roupas,66.14,51,Filial 10,2023-01-04 18:58:06.794203
Batom líquido,Eletrodomésticos,10.88,32,Filial 7,2023-03-18 18:58:06.794203
Pó compacto,Alimentos,99.7,97,Filial 3,2023-08-11 18:58:06.794203
Máscara de cílios,Alimentos,61.35,41,Filial 2,2023-03-24 18:58:06.794203
Base líquida,Alimentos,17.78,49,Filial 4,2022-10-14 18:58:06.794203
Pó compacto,Alimentos,59.17,40,Filial 4,2023-05-21 18:58:06.794203
Base líquida,Eletrônicos,5.48,78,Filial 5,2022-10-20 18:58:06.794203
Base líquida,Eletrônicos,5.61,5,Filial 5,2023-04-12 18:58:06.794203
Sombra de olhos,Roupas,70.48,48,Filial 10,2022-12-29 18:58:06.794203
Pó compacto,Eletrodomésticos,52.68,24,Filial 1,2023-03-18 18:58:06.794203
Base líquida,Alimentos,31.7,83,Filial 1,2023-05-29 18:58:06.794203
Corretivo,Eletrodomésticos,46.65,27,Filial 1,2023-07-21 18:58:06.794203
Blush em pó,Alimentos,93.55,81,Filial 4,2022-12-28 18:58:06.794203
Delineador líquido,Roupas,97.79,58,Filial 2,2023-01-15 18:58:06.794203
Batom matte,Roupas,50.69,50,Filial 4,2023-04-30 18:58:06.794203
Delineador líquido,Eletrônicos,68.06,14,Filial 2,2022-09-23 18:58:06.794203
Delineador líquido,Eletrônicos,8.06,81,Filial 7,2022-10-22 18:58:06.794203
Blush em pó,Alimentos,97.12,24,Filial 5,2023-05-24 18:58:06.794203
Máscara de cílios,Roupas,48.11,21,Filial 1,2023-07-12 18:58:06.794203
Batom matte,Roupas,72.28,32,Filial 2,2023-05-16 18:58:06.794203
Blush em pó,Roupas,8.66,88,Filial 3,2022-10-14 18:58:06.794203
Lápis de sobrancelha,Alimentos,94.08,94,Filial 7,2022-11-20 18:58:06.794203
Corretivo,Roupas,5.6,49,Filial 4,2023-07-16 18:58:06.794203
Pó compacto,Eletrônicos,22.36,16,Filial 3,2023-01-24 18:58:06.794203
Base líquida,Roupas,3.79,5,Filial 5,2022-12-18 18:58:06.794203
Sombra de olhos,Eletrônicos,41.73,5,Filial 6,2022-11-21 18:58:06.794203
